anchor;x;y;distance;distance_cm;channel;rssi
s2;0;6;10.77032961;1077;0;-66.275
s2;0;6;10.77032961;1077;1;-65.18181818
s2;0;6;10.77032961;1077;2;-65.71428571
s2;0;6;10.77032961;1077;3;-67.03883495
s2;0;6;10.77032961;1077;4;-63.64485981
s2;0;6;10.77032961;1077;5;-63.97590361
s2;0;6;10.77032961;1077;6;-65
s2;0;6;10.77032961;1077;7;-61.47572816
s2;0;6;10.77032961;1077;8;-62.10679612
s2;0;6;10.77032961;1077;9;-61.81
s2;0;6;10.77032961;1077;10;-65.04854369
s2;0;6;10.77032961;1077;11;-64.10434783
s2;0;6;10.77032961;1077;12;-68.97115385
s2;0;6;10.77032961;1077;13;-66.55102041
s2;0;6;10.77032961;1077;14;-64.95614035
s2;0;6;10.77032961;1077;15;-60.06930693
s2;0;6;10.77032961;1077;16;-60
s2;0;6;10.77032961;1077;17;-60.98
s2;0;6;10.77032961;1077;18;-61.76344086
s2;0;6;10.77032961;1077;19;-61.95283019
s2;0;6;10.77032961;1077;20;-59.38834951
s2;0;6;10.77032961;1077;21;-57.02020202
s2;0;6;10.77032961;1077;22;-56.7979798
s2;0;6;10.77032961;1077;23;-56.6969697
s2;0;6;10.77032961;1077;24;-59.19101124
s2;0;6;10.77032961;1077;25;-59.42391304
s2;0;6;10.77032961;1077;26;-59.08
s2;0;6;10.77032961;1077;27;-60.00934579
s2;0;6;10.77032961;1077;28;-62.83870968
s2;0;6;10.77032961;1077;29;-64.5
s2;0;6;10.77032961;1077;30;-63.50666667
s2;0;6;10.77032961;1077;31;-63.58241758
s2;0;6;10.77032961;1077;32;-62.2109375
s2;0;6;10.77032961;1077;33;-61.01086957
s2;0;6;10.77032961;1077;34;-59.93220339
s2;0;6;10.77032961;1077;35;-60.76699029
s2;0;6;10.77032961;1077;36;-61.23893805
s2;0;6;10.77032961;1077;37;-70.56028369
s2;0;6;10.77032961;1077;38;-63.24666667
s2;0;6;10.77032961;1077;39;-61.8041958
s2;0;7;10.44030651;1044;0;-66.28571429
s2;0;7;10.44030651;1044;1;-63.03125
s2;0;7;10.44030651;1044;2;-66.14159292
s2;0;7;10.44030651;1044;3;-69.73033708
s2;0;7;10.44030651;1044;4;-67.68421053
s2;0;7;10.44030651;1044;5;-66.71287129
s2;0;7;10.44030651;1044;6;-67.34862385
s2;0;7;10.44030651;1044;7;-66.83333333
s2;0;7;10.44030651;1044;8;-74.31578947
s2;0;7;10.44030651;1044;9;-76.91836735
s2;0;7;10.44030651;1044;10;-72.45054945
s2;0;7;10.44030651;1044;11;-69.27722772
s2;0;7;10.44030651;1044;12;-78.88
s2;0;7;10.44030651;1044;13;-75.26190476
s2;0;7;10.44030651;1044;14;-72.20661157
s2;0;7;10.44030651;1044;15;-68.82352941
s2;0;7;10.44030651;1044;16;-66.30555556
s2;0;7;10.44030651;1044;17;-63.60169492
s2;0;7;10.44030651;1044;18;-61.30555556
s2;0;7;10.44030651;1044;19;-61.41489362
