anchor;x;y;distance;distance_cm;channel;rssi
s3;1;1;9.055385138;906;0;-61.47747748
s3;1;1;9.055385138;906;1;-63
s3;1;1;9.055385138;906;2;-63.00952381
s3;1;1;9.055385138;906;3;-67.97
s3;1;1;9.055385138;906;4;-81.078125
s3;1;1;9.055385138;906;5;-79.95121951
s3;1;1;9.055385138;906;6;-70.16666667
s3;1;1;9.055385138;906;7;-67
s3;1;1;9.055385138;906;8;-63
s3;1;1;9.055385138;906;9;-60.11111111
s3;1;1;9.055385138;906;10;-60.69811321
s3;1;1;9.055385138;906;11;-65
s3;1;1;9.055385138;906;12;-71.97345133
s3;1;1;9.055385138;906;13;-67
s3;1;1;9.055385138;906;14;-63.04545455
s3;1;1;9.055385138;906;15;-61.71153846
s3;1;1;9.055385138;906;16;-61.890625
s3;1;1;9.055385138;906;17;-61.125
s3;1;1;9.055385138;906;18;-58.96226415
s3;1;1;9.055385138;906;19;-58
s3;1;1;9.055385138;906;20;-59.06666667
s3;1;1;9.055385138;906;21;-59.94444444
s3;1;1;9.055385138;906;22;-59.03809524
s3;1;1;9.055385138;906;23;-58.96774194
s3;1;1;9.055385138;906;24;-56.98958333
s3;1;1;9.055385138;906;25;-55.93442623
s3;1;1;9.055385138;906;26;-56.38317757
s3;1;1;9.055385138;906;27;-56.94339623
s3;1;1;9.055385138;906;28;-56.24242424
s3;1;1;9.055385138;906;29;-56
s3;1;1;9.055385138;906;30;-56.88
s3;1;1;9.055385138;906;31;-58.99107143
s3;1;1;9.055385138;906;32;-62
s3;1;1;9.055385138;906;33;-63.98275862
s3;1;1;9.055385138;906;34;-64.11320755
s3;1;1;9.055385138;906;35;-61.88695652
s3;1;1;9.055385138;906;36;-63.41836735
s3;1;1;9.055385138;906;37;-60.05696203
s3;1;1;9.055385138;906;38;-62.47169811
s3;1;1;9.055385138;906;39;-63.36774194
s3;2;2;8.246211251;825;0;-60.64705882
s3;2;2;8.246211251;825;1;-60.76923077
s3;2;2;8.246211251;825;2;-59.39361702
s3;2;2;8.246211251;825;3;-59.84810127
s3;2;2;8.246211251;825;4;-58.22352941
s3;2;2;8.246211251;825;5;-58.55434783
s3;2;2;8.246211251;825;6;-61.05952381
s3;2;2;8.246211251;825;7;-62.64835165
s3;2;2;8.246211251;825;8;-69.71111111
s3;2;2;8.246211251;825;9;-76.7972973
s3;2;2;8.246211251;825;10;-68.27272727
s3;2;2;8.246211251;825;11;-62.46078431
s3;2;2;8.246211251;825;12;-64.96
s3;2;2;8.246211251;825;13;-64.08163265
s3;2;2;8.246211251;825;14;-68.1827957
s3;2;2;8.246211251;825;15;-66.86419753
s3;2;2;8.246211251;825;16;-67.86746988
s3;2;2;8.246211251;825;17;-62.95402299
s3;2;2;8.246211251;825;18;-59.48314607
s3;2;2;8.246211251;825;19;-56.03409091
s3;2;2;8.246211251;825;20;-55.6
s3;2;2;8.246211251;825;21;-55.78095238
s3;2;2;8.246211251;825;22;-54.28571429
s3;2;2;8.246211251;825;23;-53.54901961
s3;2;2;8.246211251;825;24;-54.43925234
s3;2;2;8.246211251;825;25;-53.97590361
